Id,DateandTime,BetaineTankLevel,SLS_Tank_A_Level,SLS_Tank_B_Level,SLE3S_Tank_A_Level,SLE3S_Tank_B_Level,SLE1S_Tank_Level,HAS_Tank_Level,HeatingBay_Tank_Level,HeatingBay_Tank_Temp,GelN_Tank_A_Level,GelN_Tank_B_Level,NACL6T_Level,NACL2T_Level,LPBase_Tank_Level,LPBase_SurgeTank_Level,HCBase_Tank_Level,THXN_Tank_Level,DM5500_Tank_Level,Dadmac_Tank_Level,Perfume1_Tank_Level,Perfume2_Tank_Level,Perfume3_Tank_Level,HotDI_Tank_Level,ColdDI_Tank_Level,1.25_Tank_Level,Benzyl_Tank_Level,Climbazole_Tank_Level,Kathon_Level,Pure_refresh,HCL
289295,2025-10-23 02:09:10.853,44.79896,46.93632,47.20273,51.88139,88.54845,0,72.91829,1775.195,49.5,4514.815,-13.5,2296.125,1697.382,5230.376,861,7008,-76.125,20.16875,NULL,615.6675,539.4375,511.83,85.25077,85.69444,8.5,1264.327,1775.195,351.5078,948.2977,18.58625
289296,2025-10-23 02:14:11.003,44.83787,46.96881,47.23522,51.91394,88.60403,0,72.90532,1775.195,49.45625,4514.815,-13.875,2205.75,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.5625,539.4375,511.885,85.28154,87.22221,8.5,1264.959,1775.195,351.6699,949.2704,18.58625
289297,2025-10-23 02:19:10.807,44.86381,46.90708,47.36192,51.91394,88.75118,0,72.90532,1775.097,49.425,4515.185,-14.25,2187.375,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.6675,539.4938,511.83,85.30462,88.61111,8.5,1264.959,1775.097,351.5078,948.2977,18.58625
289298,2025-10-23 02:24:11.230,44.86381,46.84211,47.38467,51.88139,88.74138,0,72.92802,1775.486,49.38125,4514.815,-15,2183.625,1697.008,5230.376,861,7008,-76.125,20.175,NULL,615.72,539.4938,511.83,85.25077,89.58334,8.5,1264.425,1775.486,351.3456,947.8113,18.58625
289299,2025-10-23 02:29:10.720,44.81517,46.90708,46.73814,51.88139,88.70867,0,72.9118,1775.292,49.35,4514.815,-13.875,2183.25,1697.257,5230.376,861,7008,-76.125,20.175,NULL,615.72,539.4938,511.885,85.29692,84.30556,8.5,1264.814,1775.292,351.8158,949.2704,18.58625
289300,2025-10-23 02:34:10.970,44.79248,46.90708,46.7089,51.88139,88.70213,0,72.90208,1775.778,49.30625,4515.185,-13.5,2182.125,1697.257,5230.376,861,7008,-76.125,20.175,NULL,615.825,539.4938,511.885,85.33539,85.83334,8.566667,1264.619,1775.778,351.3456,948.2977,18.58625
289301,2025-10-23 02:39:10.550,44.80869,46.84211,46.96881,50.95046,88.68252,0,72.92153,1774.027,49.26875,4514.815,-14.25,2182.5,1697.132,5230.376,861,7008,-76.125,20.16875,NULL,615.825,539.4375,511.83,85.28154,87.36111,8.5,1264.668,1774.027,351.5078,948.2977,18.58625
289302,2025-10-23 02:44:10.507,44.81193,46.84211,47.15725,51.2076,88.6629,0,72.92802,1774.416,49.78125,4515.185,-13.5,2181,1697.882,5230.376,861,7008,-76.125,20.16875,NULL,615.6675,539.4375,511.83,85.26615,88.61111,8.5,1264.571,1774.416,351.3456,948.2977,18.58625
289303,2025-10-23 02:49:12.300,44.79896,46.8746,47.20273,51.39965,88.68578,0,72.90208,1774.222,49.875,4515.185,-13.875,2181.75,1697.882,5229.409,861,7008,-76.125,20.175,NULL,615.7725,539.4938,511.885,85.25077,89.86111,8.5,1265.689,1774.222,351.6699,949.2704,18.58625
289304,2025-10-23 02:54:11.113,44.81842,46.8746,47.21898,51.94649,88.74792,0,72.95396,1775.584,50.275,4514.074,-13.875,2183.25,1697.257,5229.409,861,7008,-76.125,20.16875,NULL,615.7725,539.4375,511.885,85.29692,84.44444,8.5,1265.203,1775.584,351.6699,948.2977,18.58625
